,address,date,district,municipality,price,area,rooms,floor
0,Snövädersgatan 1,2014-12-29,Biskopsgården,Göteborg,1280000,68.5,3.0,3.0
1,Vänortsgatan 4E,2014-12-29,Mölndal Centrum,Mölndal,900000,58.0,2.0,3.0
2,Befälsgatan 8,2014-12-28,Kortedala,Göteborg,1400000,53.0,2.0,4.0
3,Lillekärr Norra 90,2014-12-28,Kärra-Rödbo,Göteborg,1150000,64.5,2.0,1.0
4,Nordhemsgatan 70A,2014-12-26,Linnéstaden,Göteborg,3600000,97.0,4.0,3.0
5,Gitarrgatan 3,2014-12-23,Ruddalen,Göteborg,1900000,69.5,3.0,
6,Fagottgatan 2,2014-12-22,Västra Frölunda,Göteborg,1690000,58.0,2.0,12.0
7,Anders Personsgatan 9,2014-12-22,Centrum,Göteborg,3250000,80.0,3.0,6.0
8,Arvesgärde 9,2014-12-21,Tuve,Göteborg,1300000,40.5,1.5,
9,Sagogången 3,2014-12-21,Hisings Backa,Göteborg,1450000,79.0,3.0,2.0
10,Guldpokalsgatan 6D,2014-12-20,Hisingen,Göteborg,1530000,49.0,2.0,1.0
11,Stabbegatan 36,2014-12-20,Björkekärr,Göteborg,1840000,62.0,3.0,
12,Lillekärr Södra 160,2014-12-20,Hisings Kärra,Göteborg,1550000,75.5,3.0,
13,Sagogången 20,2014-12-20,Hisings Backa,Göteborg,1305000,96.5,4.0,
14,Cederflychts gata 9,2014-12-19,Backa,Göteborg,1030000,66.0,2.0,3.0
15,Brunnehagen 45,2014-12-19,Tuve-Säve,Göteborg,1435000,78.0,3.0,
16,Fullblodsgatan 1A,2014-12-19,Åby,Mölndal,1420000,59.5,2.0,
17,Sergelsgatan 3A,2014-12-19,Lunden,Göteborg,1920000,44.0,2.0,4.0
18,Bangatan 8B,2014-12-19,Masthugget,Göteborg,2925000,78.0,3.0,2.0
19,Poetgatan 45,2014-12-19,Hisings Backa,Göteborg,1430000,93.5,4.0,
20,Torggatan 94,2014-12-19,Centrum,Mölndal,1510000,110.0,4.0,
21,Regnvädersgatan 24,2014-12-19,Biskopsgården,Göteborg,1915000,94.5,4.0,
22,Teleskopgatan 16,2014-12-19,Bergsjön,Göteborg,590000,72.5,3.0,
23,Arvesgärde 11,2014-12-19,Tuve,Göteborg,1290000,65.5,2.0,3.0
24,Sörhallstorget 19,2014-12-19,Eriksberg,Göteborg,3090000,90.0,4.0,4.0
25,Flöjtgatan 27,2014-12-19,Ruddalen,Göteborg,1350000,31.5,1.0,4.0
26,Lotta Svärdsgatan 2B,2014-12-18,Gamlestaden,Göteborg,1415000,34.5,1.0,
27,Sveagatan 5,2014-12-18,Linné,Göteborg,3080000,64.0,2.0,4.0
28,Ängskogsvägen 20B,2014-12-18,Tuve,Göteborg,1070000,58.5,2.0,
29,Nordhemsgatan 62,2014-12-18,Linnéstaden,Göteborg,2350000,39.0,1.0,1.0
30,Kastellgatan 17,2014-12-18,Linnéstaden,Göteborg,3400000,62.0,2.0,1.0
31,Älvsborgsgatan 32,2014-12-18,Majorna,Göteborg,2000000,48.0,2.0,1.0
32,Björcksgatan 56A,2014-12-18,Östra Centrum,Göteborg,2400000,63.0,2.0,2.0
33,Majorsgatan 4,2014-12-18,Linnéstaden,Göteborg,5650000,112.0,4.0,2.0
34,Stobéegatan 10A,2014-12-18,Kålltorp,Göteborg,1750000,45.0,2.0,3.0
35,Önskevädersgatan 47,2014-11-21,Biskopsgården,Göteborg,1200000,72.0,3.0,1.0
36,Karl Gustavsgatan 7A,2014-11-21,Vasastaden,Göteborg,3650000,70.0,3.0,3.0
37,Arvesgärde 7,2014-11-21,Tuve,Göteborg,1605000,81.5,3.0,
38,Nordostpassagen 55,2014-11-21,Linnéstaden,Göteborg,1645000,30.0,1.0,6.0
39,Kabelgatan 10,2014-11-21,Majorna,Göteborg,1850000,54.5,2.0,2.5
40,Engelbrektsgatan 55,2014-11-21,Lorensberg,Göteborg,7485000,141.0,5.0,3.0
41,Kapplandsgatan 18,2014-11-21,Högsbo,Göteborg,2230000,66.0,3.0,1.0
42,Rörstrandsgatan 7A,2014-11-21,Lundby,Göteborg,1780000,73.0,3.0,2.0
43,Brunnehagen 32,2014-11-21,Tuve-Säve,Göteborg,1400000,80.0,3.0,
44,Smörslottsgatan 65,2014-11-21,Östra Centrum,Göteborg,3150000,105.0,4.0,3.0
45,Brunkebergsgatan 9A,2014-11-21,Örgryte,Göteborg,1540000,33.0,1.0,1.0
46,Södra vägen 81,2014-11-21,Lorensberg,Göteborg,3700000,84.0,3.0,4.0
47,Växthusvägen 50,2014-11-21,Tuve-Säve,Göteborg,2710000,108.5,4.0,
48,Västra Annebergsvägen 3C,2014-11-21,Anneberg,Partille,1420000,83.5,3.0,3.0
49,Bratteråsgatan 46,2014-11-21,Eriksberg,Göteborg,1535000,46.0,1.0,1.0
50,Sergelsgatan 3E,2014-11-21,Lunden,Göteborg,1960000,56.0,2.0,3.0
51,Marklandsgatan 61,2014-11-21,Högsbo,Göteborg,1840000,54.0,2.0,
52,Andra Långgatan 7,2014-11-20,Linnéstaden,Göteborg,3875000,122.0,3.5,1.0
53,Harald Hjärnesgatan 18B,2014-11-20,Lundby,Göteborg,1550000,52.0,2.0,2.0
54,Carl Larssonsgatan 1A,2014-11-20,Örgryte,Göteborg,3225000,73.5,3.0,2.0
55,Kallebäcksvägen 13B,2014-11-20,Kallebäck,Göteborg,2060000,91.5,4.0,9.0
56,Kapellplatsen 1A,2014-11-20,Vasastaden,Göteborg,2100000,33.0,1.0,3.0
57,Fricksgatan 2A,2014-11-20,Norra Guldheden,Göteborg,1880000,39.5,1.0,3.0
58,Svanehöjdsgatan 9B,2014-11-20,Biskopsgården,Göteborg,1250000,65.0,2.0,
59,Gröna gatan 51,2014-11-20,Majorna,Göteborg,2600000,82.5,3.0,1.0
60,Prilyckegatan 223,2014-11-20,Hisings Kärra,Göteborg,1830000,79.0,3.0,
61,Chalmersgatan 24,2014-11-20,Lorensberg,Göteborg,5750000,109.0,3.0,6.0
62,Doktor Forselius gata 8,2014-11-20,Guldheden,Göteborg,2530000,81.5,4.0,
63,Bratteråsgatan 70,2014-11-20,Eriksberg,Göteborg,5050000,105.0,3.5,7.0
64,Lillekärr Södra 126,2014-11-20,Hisings Kärra,Göteborg,1235000,75.5,3.0,
65,Kabelgatan 41A,2014-11-20,Majorna,Göteborg,1750000,42.5,1.0,2.0
66,Lammevallsgatan 42F,2014-11-20,Jungfruplatsen,Mölndal,1495000,74.0,3.0,
67,Lådämnesgatan 10,2014-11-20,Björkekärr,Göteborg,1895000,65.5,3.0,3.0
68,Gundas gata 124,2014-11-20,Balltorp,Mölndal,2275000,74.5,3.0,
69,Sveagatan 21,2014-11-20,Linnéstaden,Göteborg,5000000,96.0,3.0,4.0
70,Aschebergsgatan 5,2014-02-26,Vasastaden,Göteborg,2900000,58.0,2.0,1.0
71,Sägengatan 40,2014-02-26,Hisings Backa,Göteborg,760000,68.0,2.0,
72,Eklanda Bäck 111,2014-02-26,Eklanda,Mölndal,2880000,118.0,5.0,
73,Tallkottegatan 2C,2014-02-26,Enerbacken,Mölndal,1700000,68.0,2.0,
74,Doktor Lindhs gata 6,2014-02-25,Innerstaden,Göteborg,1550000,38.0,1.0,2.0
75,Vildapelsgatan 1A,2014-02-25,Innerstaden,Göteborg,2010000,58.0,2.0,1.0
76,Raketgatan 12,2014-02-25,Norra Guldheden,Göteborg,1925000,57.0,2.0,1.0
77,Chalmersgatan 25A,2014-02-25,Vasastaden,Göteborg,4325000,111.0,3.0,3.0
78,Skepparegången 26,2014-02-24,Masthugget,Göteborg,1860000,57.5,2.0,3.0
79,Raketgatan 13,2014-02-24,Norra Guldheden,Göteborg,3450000,96.0,3.5,4.0
80,Bielkegatan 9C,2014-02-24,Örgryte,Göteborg,1200000,37.0,1.0,
81,Kärrhöksgatan 7B,2014-02-24,Östra Centrum,Göteborg,2490000,84.0,4.0,
82,Stora Nygatan 9,2014-02-24,Inom Vallgraven,Göteborg,3450000,89.0,3.0,3.0
83,Bäckebolsängen 12,2014-02-24,Backa,Göteborg,855000,68.5,2.0,
84,Kapplandsgatan 24,2014-02-22,Högsbo,Göteborg,1775000,66.0,3.0,
85,Körkarlens gata 25,2014-02-22,Hisings Backa,Göteborg,815000,74.5,3.0,
86,Kobergsgatan 15,2014-02-22,Strömmensberg,Göteborg,2110000,68.0,3.0,2.0
87,Kobbarnas väg 7,2014-02-22,Innerstaden,Göteborg,1950000,55.0,2.0,4.0
88,Hinderbanan 6,2014-02-22,Kviberg,Göteborg,1675000,65.0,2.0,2.0
89,Von Gerdesgatan 3,2014-02-22,Centrum,Göteborg,2395000,59.0,2.5,7.0
90,Kungsportsavenyen 14,2014-02-21,Innerstaden,Göteborg,6000000,139.0,5.0,2.0
91,Haga Kyrkogata 20C,2014-02-21,Vasastaden,Göteborg,2250000,37.0,1.0,1.0
92,Vintervädersgatan 5,2014-02-21,Biskopsgården,Göteborg,1025000,67.0,3.0,
93,Lillekärr Norra 80,2014-02-21,Hisings Kärra,Göteborg,1000000,76.0,3.0,
94,Saxofongatan 14,2014-02-21,Frölunda,Göteborg,800000,28.5,1.0,
95,Viktor Rydbergsgatan 23,2014-02-21,Nedre Johanneberg,Göteborg,2795000,70.0,2.0,4.0
96,Nordostpassagen 49,2014-02-21,Linnéstaden,Göteborg,1595000,39.0,1.5,
97,Musikvägen 14,2014-02-21,Ruddalen,Göteborg,1800000,70.0,3.0,3.0
98,Linnégatan 64,2014-02-21,Innerstaden,Göteborg,3280000,69.0,3.0,
99,Sprängkullsgatan 3A,2014-02-21,Linnéstaden,Göteborg,1835000,42.0,2.0,1.0
100,Haga Kyrkogata 20C,2014-02-21,Vasastaden,Göteborg,4325000,85.0,3.0,2.0
101,Formskäraregatan 3,2014-02-21,Johanneberg,Göteborg,2470000,55.0,2.0,1.0
102,Solhagagatan 80,2014-02-21,Hisings Kärra,Göteborg,905000,64.0,2.0,
103,Kapplandsgatan 84A,2014-02-21,Högsbo,Göteborg,1470000,59.0,2.0,
104,Cederflychts gata 13,2014-02-20,Backa,Göteborg,875000,66.0,2.0,5.0
105,Klamparegatan 3,2014-02-20,Västra Centrum,Göteborg,5400000,145.5,7.0,
106,Sofiagatan 40B,2014-02-20,Östra Centrum,Göteborg,1950000,53.5,2.0,
107,Nordhemsgatan 45,2014-02-20,Linnéstaden,Göteborg,3050000,64.0,2.0,1.0
108,Guldringen 42,2014-02-20,Tynnered,Göteborg,2470000,108.5,4.0,2.0
109,Guldpokalsgatan 6D,2014-02-20,Hisingen,Göteborg,1400000,49.0,2.0,3.0
110,Arvesgärde 16,2014-02-20,Tuve,Göteborg,1010000,40.5,1.5,2.0
111,Prilyckegatan 99,2014-02-20,Kärra-Rödbo,Göteborg,1735000,90.5,4.0,
112,Mors Backe 7,2014-02-20,Majorna,Göteborg,3560000,77.0,2.0,4.0
113,Gustavsplatsen 1H,2014-02-20,Bagaregården,Göteborg,1975000,62.0,2.5,3.0
114,Arvesgärde 37,2014-02-20,Tuve-Säva,Göteborg,1570000,81.5,3.0,
115,Måns Bryntessonsgatan 15B,2014-02-20,Gamlestaden,Göteborg,1290000,51.0,2.0,2.0
116,Träringen 63,2014-02-20,Björkekärr,Göteborg,1580000,53.5,2.5,3.0
117,Miraallén 25,2014-02-20,Lundby,Göteborg,2850000,83.0,3.0,
118,Lilla Munkebäcksgatan 13A,2014-02-20,Örgryte,Göteborg,1450000,58.0,2.0,
119,Föreningsgatan 39,2014-02-20,Vasastaden,Göteborg,4450000,89.0,3.0,
120,Sagolandsvägen 4,2014-02-20,Lundby,Göteborg,2100000,64.0,2.0,
121,Batterigatan 1F,2014-02-20,Kortedala,Göteborg,1220000,39.0,1.0,
122,Regnvädersgatan 1,2014-02-20,Biskopsgården,Göteborg,1310000,68.0,3.0,
123,Fjärde Långgatan 19,2014-02-20,Linnéstaden,Göteborg,2950000,77.0,3.0,
124,Föreningsgatan 16,2014-02-20,Centrum,Göteborg,1850000,48.0,2.0,
125,Besebäcksstigen 9,2014-02-20,Nedre Paradiset,Partille,1880000,86.0,4.0,2.0
126,Hagåkersgatan 12B,2014-02-20,Bosgården,Mölndal,1320000,56.0,2.0,
127,Axgatan 10,2014-02-20,Bifrost,Mölndal,1175000,69.0,2.0,34.0
128,Gröna gatan 31,2014-02-19,Västra Centrum,Göteborg,2800000,100.0,4.0,
129,Paradisgatan 12,2014-02-19,Masthugget,Göteborg,2920000,80.5,3.0,2.0
130,Gröna gatan 49,2014-02-19,Majorna,Göteborg,2360000,84.5,3.0,3.0
131,Fredåsgatan 24,2014-02-19,Krokslätt,Mölndal,1685000,66.0,2.0,2.0
132,Garverigatan 7,2014-02-19,Stampen,Göteborg,2170000,65.0,3.0,1.0
133,Guldringen 18,2014-02-19,Tynnered,Göteborg,1700000,81.0,3.0,1.0
134,Råstensgatan 52C,2014-02-19,Kålltorp,Göteborg,2580000,70.0,3.0,2.0
135,Fredbergsgatan 3C,2014-02-19,Majorna,Göteborg,1885000,46.0,2.0,1.0
136,Solhagagatan 48,2014-02-19,Hisings Kärra,Göteborg,950000,65.0,2.0,
137,Stampgatan 54D,2014-02-19,Centrum,Göteborg,2560000,76.5,3.0,2.0
138,Svarvstensvägen 18,2014-02-19,Kärra-Rödbo,Göteborg,2220000,96.0,4.0,
139,Risåsgatan 3,2014-02-19,Linnéstaden,Göteborg,3525000,80.0,3.0,5.0
140,Kapplandsgatan 46,2014-02-19,Högsbo,Göteborg,1855000,66.0,3.0,1.0
141,Nordanvindsgatan 8A,2014-02-19,Hisingen,Göteborg,1320000,50.5,2.0,1.0
142,Monsungatan 32,2014-02-19,Eriksberg,Göteborg,2290000,62.0,2.0,
143,Övre Djupedalsgatan 11B,2014-02-19,Innerstaden,Göteborg,1950000,35.0,1.0,
144,Kabelgatan 13E,2014-02-18,Majorna,Göteborg,1650000,70.5,3.0,1.0
145,Andra Långgatan 4C,2014-02-18,Linnéstaden,Göteborg,4510000,80.0,3.0,2.0
146,Torallagatan 4A,2014-02-18,Bosgården,Mölndal,1400000,57.0,2.0,1.0
147,Ängskogsvägen 36A,2014-02-18,Tuve-Säva,Göteborg,890000,42.0,1.0,
148,Toleredsgatan 16C,2014-02-18,Hisingen,Göteborg,1310000,56.5,2.0,1.0
149,Norra Gubberogatan 17,2014-02-18,Olskroken,Göteborg,1900000,48.0,1.0,
150,Brattåskärrsvägen 159,2014-02-18,Sävedalen,Partille,895000,32.0,1.0,2.0
151,Östra Eriksbergsgatan 81,2014-02-18,Lundby,Göteborg,1725000,57.5,2.0,
152,Övre Hallegatan 24,2014-02-17,Hisingen,Göteborg,1450000,64.0,2.0,1.0
153,Hjällbogärdet 38,2014-02-17,Eriksbo,Göteborg,700000,59.0,2.0,
154,Viktoriagatan 40,2014-02-17,Vasastaden,Göteborg,3370000,77.0,3.0,3.0
155,Sixten Camps gata 14,2014-02-17,Innerstaden,Göteborg,2635000,68.0,2.0,
156,Nilssonsberg 15,2014-02-17,Linné,Göteborg,3345000,74.0,3.0,6.0
157,Fyrverkaregatan 5D,2014-02-17,Landala Egnahem,Göteborg,2650000,76.0,3.0,2.0
158,Belegatan 4,2014-02-17,Lundby,Göteborg,4300000,133.5,4.0,4.0
159,Barken Beatrices gata 8,2014-02-16,Sannegårdshamnen,Göteborg,2400000,80.0,3.0,3.0
160,Cederflychts gata 13,2014-02-16,Hisings Backa,Göteborg,980000,93.5,4.0,
161,Iskällareliden 10C,2014-02-15,Örgryte,Göteborg,2400000,54.5,2.0,3.0
162,Saxofongatan,2014-02-15,Kaverös,Göteborg,1250000,57.0,2.0,1.0
163,Östra Midvintersgatan 16,2014-02-15,Kortedala,Göteborg,905000,54.0,2.0,9.0
164,Fallströmsgatan 16A,2014-02-15,Nedre Toltorpsdalen,Mölndal,1425000,84.0,3.0,2.0
165,Aschebergsgatan 5,2014-02-15,Vasastaden,Göteborg,10900000,227.0,3.0,6.0
166,Storhöjdsgatan 2A,2014-02-15,Strömmensberg,Göteborg,2200000,93.5,4.0,4.0
167,Nya Allén 6A,2014-02-14,Heden,Göteborg,3100000,61.0,2.0,2.0
168,Styrmansgatan 26,2014-02-14,Majorna,Göteborg,2150000,45.0,2.0,2.0
169,Belegatan 5,2014-02-14,Eriksberg,Göteborg,3810000,79.5,3.0,3.0
170,Gladiolusgatan 4B,2014-02-14,Broslätt,Mölndal,1110000,59.0,2.0,1.0
171,Kvillegatan 21,2014-02-14,Hisingen,Göteborg,2425000,86.0,3.0,
172,Nordhemsgatan 20A,2014-02-14,Linnéstaden,Göteborg,2825000,60.0,2.0,2.0
173,Dalbogatan 3C,2014-02-14,Krokslätt,Mölndal,1875000,54.0,2.0,3.0
174,Övre Olskroksgatan 30,2014-02-14,Bagaregården,Göteborg,1820000,55.0,2.0,3.0
175,Kaptensgatan 20B,2014-02-13,Majorna,Göteborg,1820000,49.0,2.0,1.0
176,Doktor Hjorts gata 2B,2014-02-13,Södra Guldheden,Göteborg,2525000,67.0,3.0,1.0
177,Fyrmästaregången 18,2014-02-13,Masthugget,Göteborg,3645000,106.5,4.0,2.0
178,Virginsgatan 26B,2014-02-13,Östra Centrum,Göteborg,1880000,58.0,2.0,3.0
179,Vidblicksgatan 9,2014-02-13,Nedre Johanneberg,Göteborg,1980000,42.0,1.5,2.0
180,Träringen 47,2014-02-13,Björkekärr,Göteborg,1540000,53.5,2.0,3.0
181,Gröna gatan 32,2014-02-13,Majorna,Göteborg,2210000,67.5,2.0,
182,Ridspögatan 6D,2014-02-13,Åby,Mölndal,1050000,60.0,2.0,3.0
183,Eklanda Hage 11D,2014-02-13,Eklanda,Mölndal,2615000,116.0,5.0,
184,Slättadammsgatan 7D,2014-02-13,Tolered,Göteborg,1220000,58.0,2.0,1.0
185,Friedländers gata 14,2014-02-13,Hisings Backa,Göteborg,650000,69.0,2.0,
186,Nilssonsberg 25,2014-02-13,Innerstaden,Göteborg,4430000,103.0,4.0,
187,Gyllenkrooksgatan 15,2014-02-13,Johanneberg,Göteborg,2850000,70.0,3.0,2.0
188,Plantagegatan 7,2014-02-13,Linnéstaden,Göteborg,3800000,79.5,3.0,5.0
189,Lindholmsallén 57,2014-02-13,Lindholmen,Göteborg,2450000,75.0,3.0,
190,Karl Johansgatan 164C,2014-02-13,Västra Centrum,Göteborg,1475000,46.0,2.0,4.0
191,Fribergsgatan 8,2014-02-13,Johanneberg,Göteborg,1590000,32.0,1.5,
192,Fredriksdalsgatan 8B,2014-02-13,Johanneberg,Göteborg,1570000,55.0,2.0,1.0
193,Astris gata 82,2014-02-13,Platån,Göteborg,1710000,64.0,2.0,2.0
194,Rullharvsgatan 4B,2014-02-12,Bifrost,Mölndal,1610000,76.0,3.0,2.0
195,Solhagagatan 132,2014-02-12,Hisings Kärra,Göteborg,1270000,65.0,2.0,1.0
196,Fastlagsgatan 31,2014-02-12,Kortedala,Göteborg,1150000,52.5,2.0,1.0
197,Gladiolusgatan 5D,2014-02-12,Broslätt,Mölndal,900000,35.0,1.0,2.0
198,Hökegårdsgatan 9C,2014-02-12,Krokslätt,Mölndal,2095000,98.0,4.0,1.0
199,Birkagatan 16A,2014-02-12,Örgryte,Göteborg,1780000,58.0,2.0,
200,Batterigatan 4C,2014-02-12,Kortedala,Göteborg,1490000,59.5,2.0,
201,Lagmansgatan 4B,2014-02-12,Östra Centrum,Göteborg,1575000,57.0,2.0,
202,Prilyckegatan 129,2014-02-12,Hisings-Kärra,Göteborg,1070000,75.0,3.0,1.0
203,Snövädersgatan 17,2014-02-12,Biskopsgården,Göteborg,975000,56.0,2.0,3.0
204,Föreningsgatan 16,2014-02-12,Vasastaden,Göteborg,3320000,78.0,3.0,1.0
205,Söndagsgatan 23,2014-02-12,Östra Göteborg,Göteborg,860000,53.5,2.0,
206,Kapplandsgatan 76,2014-02-12,Högsbo,Göteborg,2050000,66.0,3.0,2.0
207,Ridspögatan 6C,2014-02-12,Åby,Mölndal,1550000,78.0,3.0,2.0
208,Arvid Lindmansgatan 22A,2014-02-12,Lundby,Göteborg,1370000,60.0,2.0,3.0
209,Gladiolusgatan 5A,2014-02-12,Åby,Mölndal,1000000,59.0,1.5,
210,Släpharvsgatan 1A,2014-02-12,Bifrost,Mölndal,1075000,45.0,1.0,
211,Egmontsgatan 4,2014-02-12,Örgryte,Göteborg,3400000,95.0,3.0,
212,Bangatan 62,2014-02-12,Linnéstaden,Göteborg,1635000,41.0,1.0,
213,Skillnadsgatan 60D,2014-02-12,Örgryte-Bö,Göteborg,3125000,74.0,3.0,2.0
214,Kolonigatan 9E,2014-02-12,Landala Egnahem,Göteborg,2300000,65.5,2.0,3.0
215,Linnégatan 45,2014-02-12,Centrum Heden,Göteborg,2350000,74.0,2.0,6.0
216,Nordhemsgatan 48,2014-02-12,Linnéstaden,Göteborg,1900000,41.0,2.0,2.0
217,Träringen 7,2014-02-11,Östra Centrum,Göteborg,1885000,78.5,3.0,
218,Carlandersplatsen 6,2014-02-11,Lorensberg,Göteborg,3950000,91.0,2.5,6.0
219,Regnvädersgatan 3,2014-02-11,Biskopsgården,Göteborg,1265000,72.0,3.0,4.0
220,Kabelgatan 41A,2014-02-11,Majorna,Göteborg,1785000,53.0,2.0,
221,Ostgatan 20,2014-02-11,Kallebäck,Göteborg,1525000,85.5,4.0,8.0
222,Bäckebolslyckan 12,2014-02-11,Backa,Göteborg,1341000,83.5,3.0,1.0
223,Skanstorget 3A,2014-02-11,Linnéstaden,Göteborg,4365000,94.0,3.0,
224,Kvadrantgatan 56,2014-02-11,Bergsjön,Göteborg,530000,62.0,2.0,
225,Räntmästaregatan 28,2014-02-11,Örgryte,Göteborg,1350000,51.0,2.0,1.0
226,Lemansgatan 6,2014-02-11,Johanneberg,Göteborg,1485000,33.0,1.0,4.0
227,Maratongången 28,2014-02-11,Biskopsgården,Göteborg,1120000,128.0,5.0,
228,Fagottgatan 6,2014-02-10,Frölunda,Göteborg,1400000,59.5,2.0,
229,Längdhopparegången 9,2014-02-10,Biskopsgården,Göteborg,1200000,92.0,3.0,
230,Dammgatan 2,2014-02-08,Landala Egnahem,Göteborg,1960000,53.0,2.0,3.0
231,Regnvädersgatan 24,2014-02-08,Biskopsgården,Göteborg,1475000,94.5,4.0,3.0
232,Östanvindsgatan 9C,2014-02-08,Hisingen,Göteborg,1250000,58.0,2.0,2.0
233,Cederbourgsgatan 7,2014-02-08,Lorensberg,Göteborg,3360000,98.0,3.5,4.0
234,Stampgatan 42,2014-02-08,Innerstaden,Göteborg,1910000,59.0,2.0,
235,Nordenskiöldsgatan 15,2014-02-07,Linné,Göteborg,2825000,62.0,2.0,3.0
236,Björcksgatan 62A,2014-02-07,Kålltorp,Göteborg,1550000,38.0,2.0,2.0
237,Ålegårdsgatan 124,2014-02-07,Balltorp,Mölndal,1705000,103.0,5.0,
238,Bielkegatan 13A,2014-02-07,Lunden,Göteborg,1850000,52.0,2.0,2.0
239,Sagogången 30,2014-02-07,Backa,Göteborg,1080000,69.0,2.0,
240,Andra Långgatan 34,2014-02-07,Linnéstaden,Göteborg,1990000,59.0,2.0,4.0
241,Lasarettsgatan 6,2014-02-07,Kungshöjd,Göteborg,3333333,70.0,2.0,5.0
242,Plåtmyntsgatan 17,2014-02-07,Högsbo,Göteborg,1375000,55.0,2.0,1.0
243,Waernsgatan 7A,2014-02-07,Bagaregården,Göteborg,1500000,46.0,1.0,1.0
244,Doktor Lindhs gata 4,2014-02-07,Guldheden,Göteborg,1820000,38.0,1.0,2.0
245,Ryttaregatan 8C,2014-02-07,Gamlestaden,Göteborg,1520000,54.0,2.0,3.0
246,Storhöjdsgatan 5A,2014-02-07,Östra Centrum,Göteborg,1455000,43.5,2.0,6.0
247,Diskusgången 17,2014-02-07,Biskopsgården,Göteborg,900000,92.0,3.0,
248,Lådämnesgatan 7,2014-02-07,Östra Centrum,Göteborg,1580000,54.5,3.0,
249,Övralidsgatan 3,2014-02-07,Backa,Göteborg,815000,64.5,2.0,
250,Friggagatan 13C,2014-02-07,Stampen,Göteborg,1900000,64.0,2.0,
251,Kobbarnas väg 7,2014-02-07,Olskroken,Göteborg,2080000,55.0,2.0,5.0
252,Kallblodsgatan 6A,2014-02-07,Åby,Mölndal,960000,65.0,2.0,3.0
253,Storkgatan 5B,2014-02-07,Örgryte,Göteborg,2225000,64.0,3.0,
254,Norra Nedanvägsgatan 6E,2014-02-07,Åby,Mölndal,1395000,92.0,4.0,2.0
255,Slätten 4B,2014-02-07,Lunden,Göteborg,1800000,65.0,3.0,1.0
256,Karl Staaffsgatan 16C,2014-02-06,Hisingen,Göteborg,1450000,53.0,2.0,
257,Hedåsgatan 4A,2014-02-06,Lorensberg,Göteborg,2200000,41.0,1.0,4.0
258,Bangatan 62,2014-02-06,Majorna,Göteborg,3400000,76.5,3.0,8.0
259,Raketgatan 6,2014-02-06,Norra Guldheden,Göteborg,2090000,59.0,2.0,1.0
260,Såggatan 35F,2014-02-06,Majorna,Göteborg,1510000,35.5,1.0,2.0
261,Lars Kaggsgatan 30A,2014-02-06,Gamlestaden,Göteborg,1195000,40.5,2.0,3.0
262,Vantgatan 1G,2014-02-06,Majorna,Göteborg,2010000,54.0,2.0,2.0
263,Sagogången 48,2014-02-06,Backa,Göteborg,1420000,104.0,4.0,
264,Doktor Forselius gata 14,2014-02-06,Centrum,Göteborg,4100000,120.0,6.0,2.0
265,Arvesgärde 21,2014-02-06,Tuve,Göteborg,1015000,40.5,1.5,2.0
266,Pärlstickaregatan 6,2014-02-06,Örgryte,Göteborg,1550000,36.5,1.0,
267,Guldpokalsgatan 4A,2014-02-06,Hisingen,Göteborg,950000,34.0,1.0,
268,Paradisgatan 27Q,2014-02-06,Västra Centrum,Göteborg,1735000,29.5,1.0,6.0
269,Doktor Lindhs gata 6,2014-02-06,Innerstaden,Göteborg,1700000,38.0,1.0,
270,Sofiagatan 60E,2014-02-06,Östra Centrum,Göteborg,1420000,39.5,1.0,
271,Nordhemsgatan 54A,2014-02-06,Linnéstaden,Göteborg,3325000,70.0,3.0,1.0
272,Bromeliusgatan 14D,2014-02-06,Munkebäck,Göteborg,1800000,50.0,2.0,3.0
273,Södra vägen 6,2014-02-06,Centrum,Göteborg,2130000,38.0,1.0,
274,Richertsgatan 12,2014-02-06,Johanneberg,Göteborg,1460000,36.0,1.0,3.0
275,Rustmästaregatan 29,2014-02-06,Kortedala,Göteborg,1700000,67.0,2.0,1.0
276,Gröna gatan 69,2014-02-06,Majorna,Göteborg,2250000,82.5,3.0,2.0
277,Fastlagsgatan 13,2014-02-05,Kortedala,Göteborg,900000,54.0,2.0,3.0
278,Sofiagatan 60D,2014-02-05,Örgryte,Göteborg,1460000,40.5,1.0,2.0
279,Londongatan 56,2014-02-05,Övre Eriksberg,Göteborg,1610000,64.0,2.0,2.0
280,Nordanvindsgatan 8B,2014-02-05,Centrala-Hisingen,Göteborg,950000,42.0,1.0,1.0
281,Lantmätaregatan 17A,2014-02-05,Lundby,Göteborg,1095000,35.0,1.0,
282,Vetekornsgatan 25,2014-02-05,Bifrost,Mölndal,1250000,69.0,2.0,2.0
283,Kobergsgatan 5,2014-02-05,Örgryte,Göteborg,2125000,67.0,3.0,
284,Kristinehöjdsgatan 7,2014-02-05,Johanneberg,Göteborg,2780000,70.0,3.0,2.0
285,Söndagsgatan 1,2014-02-05,Kortedala,Göteborg,1150000,67.0,3.0,
286,Östra Midvintersgatan 24,2014-02-05,Kortedala,Göteborg,910000,53.0,2.0,
287,Brunkebergsgatan 3D,2014-02-05,Lunden,Göteborg,1755000,53.0,2.0,4.0
288,Guldpokalsgatan 6C,2014-02-05,Lundby,Göteborg,1340000,49.0,2.0,
289,Västra Stillestorpsgatan 25,2014-02-05,Lundby,Göteborg,1400000,57.0,2.0,8.0
